id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Бажен;Никифоров;Yaroslav98@mail.ru;coordinated cutlet republican;2025-02-27T16:04:33;19659;14830
2;Лонгин;Орехов;Filimon.Isaeva@gmail.com;given zealous;2025-02-27T14:16:51;9119;31895
3;Степан;Голубев;Makar.Dementukeva58@yahoo.com;asset officially;2025-02-27T17:11:49;10342;31149
4;Харлампий;Никифорова;Fotii98@gmail.com;if impressive;2025-02-27T08:06:25;17787;827
5;Тимур;Белоусов;Panfil71@yandex.ru;now;2025-02-27T13:34:57;24686;26838
6;Аполлон;Корнилов;Spiridon30@gmail.com;supposing;2025-02-28T02:38:15;6803;16674
7;Евпраксия;Федотова;Grigorii13@yahoo.com;hawk;2025-02-27T07:15:52;5622;31100
8;Никон;Фомина;Ippolit.Mikhailova@gmail.com;off drat;2025-02-27T18:23:19;21102;14204
9;Мокей;Дорофеев;Emelukyan.Golubev33@ya.ru;profuse;2025-02-27T05:14:44;22274;2670
10;Наум;Терентьева;Dementii_Nekrasova@gmail.com;frightened awkwardly valuable;2025-02-27T11:22:33;10092;17709
